,Origin,Destination,Distance,StDateyear,StDatemonth,StDateweek,StDateday,StDatedayofweek,Delay,ETA,PREDICTED_TIME_LINEAR,PREDICTED_TIME_LASSO,PREDICTED_TIME_RIDGE
3600,12,13,335.4135659,2016,11,45,9,2,1,4,5.44964954274227,5.601294247878295,5.581636241532811
3601,13,11,161.5943334,2016,9,37,16,4,6,7,5.80121765239962,5.829172493343856,5.824656652557566
3602,11,22,234.4704,2016,9,39,29,3,6,5,5.6171253403810635,5.668814360461409,5.665548432925684
3603,22,20,624.1703,2016,10,41,10,0,6,4,5.630157090810455,5.770641194710674,5.767393019650219
3604,20,15,5254.9634,2016,10,42,20,3,6,25,22.4293840125711,22.504563220297175,22.49898094033884
3605,12,13,335.4135659,2018,12,49,3,0,1,4,5.424777901074977,5.629123939571917,5.627110869723742
3606,13,11,161.5943334,2018,3,11,17,5,6,8,5.983321858674971,5.861074004378274,5.866030798400095
3607,11,20,506.2098107,2018,3,13,31,5,6,12,6.883074607605662,6.763986401877236,6.768088166509971
3608,20,15,5254.9634,2018,4,16,18,2,6,24,22.59073786275492,22.558038338165403,22.568697795612415
3609,12,13,335.4135659,2018,10,43,25,3,1,8,5.481231589404052,5.595705120593706,5.586134235791443
3610,13,11,161.5943334,2018,3,10,11,6,6,6,6.004213620921446,5.856022737224654,5.857405668216094
3611,11,22,234.4704,2018,11,46,15,3,6,6,5.602255044939428,5.678552463858868,5.686253093796134
3612,22,20,624.1703,2018,11,48,27,1,6,6,5.608265794642795,5.754153314783988,5.761433056264808
3613,20,16,5254.9012060000005,2018,9,37,12,2,6,22,22.409387704240437,22.474326482891094,22.483703795464585
3614,12,13,335.4135659,2019,12,52,27,4,1,7,5.447343934609128,5.5792586372187305,5.572504776428195
3615,13,11,161.5943334,2020,4,14,1,2,6,9,5.95944276415374,5.906738397607153,5.933152542379274
3616,11,20,506.2098107,2020,1,3,19,6,6,10,6.97926529662355,6.785561480154028,6.799638846127467
3617,20,16,5254.9012060000005,2020,4,14,2,3,6,25,22.58074290064991,22.50971001246316,22.52865068341768
3618,12,13,335.4135659,2016,7,29,21,3,1,4,5.548066090523291,5.60411478185668,5.582112194395327
3619,13,11,161.5943334,2016,7,30,26,1,6,7,5.802106722194784,5.8603044027825675,5.86557145701453
3620,11,22,234.4704,2016,8,32,8,0,6,5,5.636687300434689,5.717353992589956,5.721850811734784
3621,22,20,624.1703,2016,8,33,19,4,6,4,5.717593555091158,5.737250463914595,5.722372711794849
3622,20,21,10098.332209999999,2016,8,35,29,0,6,38,39.020996994710956,39.11831720691248,39.12366257475089
3623,21,18,628.8036587,2016,12,49,10,5,6,5,5.908658908843778,5.980707166524331,5.962996354269174
3624,12,13,335.4135659,2015,12,52,25,4,1,6,5.413906458618589,5.5635517939028905,5.536223510607728
3625,13,11,161.5943334,2016,1,53,1,4,6,6,5.809556182717968,6.100776722102699,6.351828960516814
3626,11,20,506.2098107,2016,1,2,13,2,6,13,6.906757853235051,6.806269949145971,6.807258626559198
3627,20,21,10098.332209999999,2016,1,53,2,5,6,39,39.08183013058409,39.346517335242794,39.59102661231581
3628,21,18,628.8036587,2016,3,11,17,3,6,7,6.1058644841952034,6.0425638574734,6.032734842069713
3629,12,13,335.4135659,2017,4,14,4,1,1,7,5.633149490709071,5.656863166123891,5.64690818249195
3630,13,11,161.5943334,2017,12,49,4,0,6,10,5.700874963049964,5.864236417243253,5.876773794447098
3631,11,22,234.4704,2017,4,17,28,4,6,5,5.767902301609956,5.691910919231097,5.692019706809733
3632,22,20,624.1703,2017,9,36,5,1,6,4,5.683227239094501,5.77570724167685,5.775600297965903
3633,20,21,10098.332209999999,2017,5,20,19,4,6,38,39.170033745153575,39.10896949438839,39.107289507636764
3634,21,18,628.8036587,2017,2,6,7,1,6,8,6.128234668837505,6.080646495617826,6.084420952802573
3635,18,17,688.4059453,2017,7,28,16,6,6,9,6.711112552681675,6.655997819432367,6.64494731129532
3636,12,13,335.4135659,2017,10,43,26,3,1,8,5.471595508919743,5.589809866982149,5.57416961452452
3637,13,11,161.5943334,2017,4,15,11,1,6,10,5.9087916194632175,5.892791542071031,5.903954272221307
3638,11,20,506.2098107,2017,11,47,20,0,6,11,6.623170017533921,6.7713708752504544,6.7836989497897395
3639,20,21,10098.332209999999,2017,7,28,12,2,6,37,39.104198777955524,39.12209898020572,39.12589664260229
3640,21,18,628.8036587,2018,1,3,19,4,6,6,6.1818731458027845,6.053980225078686,6.055122609165357
3641,18,17,688.4059453,2018,1,5,31,2,6,7,6.801857317623982,6.721356208860028,6.732434008936378
3642,12,13,335.4135659,2015,12,50,10,3,1,5,5.423287737487568,5.583841127063767,5.5585930095744995
3643,13,11,161.5943334,2015,10,42,18,6,6,9,5.785656595686243,5.801588750039954,5.7884068341543315
3644,11,22,234.4704,2015,2,7,11,2,6,6,5.798253269013328,5.728171021660165,5.7269088799415275
3645,22,20,624.1703,2015,11,46,14,5,6,6,5.647849420712168,5.7139779457937205,5.693452978453417
3646,20,23,644.2606097,2015,11,48,26,3,6,3,5.755235894507022,5.868966465749903,5.855958452354971
3647,23,19,4247.728669,2015,5,20,12,1,6,18,18.371800532216135,18.397016460495323,18.39102852313541
3648,12,13,335.4135659,2017,5,21,25,3,1,5,5.601935641123005,5.617141794629649,5.601882853586568
3649,13,11,161.5943334,2017,5,22,31,2,6,7,5.866777021335826,5.863200793066163,5.872135529760849
3650,11,20,506.2098107,2017,6,24,13,1,6,12,6.774401911983658,6.793651535744335,6.802787058667791
3651,20,23,644.2606097,2017,1,1,7,5,6,5,6.083658294115805,5.9251482018762704,5.914927222741026
3652,23,19,4247.728669,2017,12,49,7,3,6,19,18.243084755707187,18.351287220136143,18.34602955280674
3653,11,22,234.4704,2017,1,2,11,2,6,4,5.844200762302547,5.740076411741812,5.746780610180641
3654,22,20,624.1703,2017,11,45,11,5,6,6,5.6721057494392415,5.722973637222196,5.710386458000967
3655,20,15,5254.9634,2017,11,47,23,3,6,21,22.407237914788112,22.50246941991981,22.503425854653273
3656,11,20,506.2098107,2018,11,46,14,2,6,10,6.66449860880603,6.762084239219021,6.773831854427739
3657,20,15,5254.9634,2018,11,48,30,4,6,25,22.417583730108596,22.49315469570624,22.497602433214347
3658,11,22,234.4704,2016,3,12,25,4,6,2,5.790048399392946,5.694004719608463,5.687574792495292
3659,22,20,624.1703,2016,2,5,4,3,6,3,5.8807084127077776,5.790406147086278,5.779252773597635
3660,20,16,5254.9012060000005,2016,11,44,4,4,6,24,22.377574583944217,22.440222326863577,22.430136798377497
3661,11,20,506.2098107,2015,12,52,25,4,6,13,6.619574377418884,6.717630633356251,6.7090713372297355
3662,20,16,5254.9012060000005,2016,1,2,13,2,6,23,22.5973224648489,22.506301078320885,22.504743073410793
3663,11,22,234.4704,2018,7,30,26,3,6,5,5.689870844179124,5.691503620326625,5.699935633103573
3664,22,20,624.1703,2018,6,23,8,4,6,5,5.801281213585485,5.766331440970628,5.763270904774858
3665,20,21,10098.332209999999,2018,8,33,17,4,6,38,39.10365417725518,39.09974393484961,39.10392838402688
3666,21,18,628.8036587,2018,9,39,30,6,6,7,5.985325566612088,5.983562160256222,5.977229922993329
3667,11,20,506.2098107,2019,3,11,17,6,6,12,6.9236934640416035,6.769909743670926,6.776009113853819
3668,20,21,10098.332209999999,2019,4,14,4,3,6,38,39.22122949054443,39.145271395280616,39.15845603637014
3669,21,18,628.8036587,2019,5,20,18,5,6,6,6.102049738910223,6.027777258832167,6.029828038795385
3670,11,22,234.4704,2015,5,21,21,3,6,6,5.720393932493449,5.693903145119506,5.6880064827352665
3671,22,20,624.1703,2015,2,6,6,4,6,5,5.877740053997451,5.778487448635053,5.763006865413287
3672,20,21,10098.332209999999,2015,6,24,13,5,6,39,39.144978014110826,39.092012837153106,39.07879264721366
3673,21,18,628.8036587,2015,7,31,28,1,6,7,5.9509027575235205,6.030223080305147,6.024822712047518
3674,18,17,688.4059453,2015,10,41,8,3,6,7,6.588529343653077,6.667352537657424,6.656889302466661
3675,11,20,506.2098107,2016,7,28,13,2,6,11,6.7530242744874105,6.773403599135166,6.772748063723183
3676,20,21,10098.332209999999,2016,7,30,30,5,6,38,39.10678291568488,39.075653148454535,39.06514934947875
3677,21,18,628.8036587,2016,12,49,9,4,6,4,5.897858160302453,5.990837789013703,5.9762029407140975
3678,18,17,688.4059453,2016,9,38,22,3,6,6,6.6055098700388,6.664516325311075,6.657563035458201
3679,11,22,234.4704,2016,6,24,15,2,6,5,5.702522267632746,5.704224506772624,5.70324367676926
3680,22,20,624.1703,2016,6,25,26,6,6,4,5.783428522289215,5.724120978097263,5.703765576829321
3681,20,23,644.2606097,2016,6,23,7,1,6,6,5.898776805280702,5.929818786864569,5.924216635109344
3682,23,19,4247.728669,2016,7,29,18,0,6,18,18.311204534391862,18.392957050968697,18.39223501741479
3683,11,20,506.2098107,2015,8,32,6,3,6,10,6.737604623928979,6.762342195511456,6.756215824566999
3684,20,23,644.2606097,2015,6,26,24,2,6,6,5.874775278168956,5.906429015886776,5.896878277861942
3685,23,19,4247.728669,2015,6,23,7,6,6,18,18.414204124065762,18.348533004731042,18.32663879648016
3686,13,11,161.5943334,2017,10,43,25,2,6,9,5.746527902837718,5.840948220754415,5.849003746959722
3687,11,22,234.4704,2017,9,37,11,0,6,6,5.6145412026517025,5.71526019221259,5.726295726049228
3688,22,20,624.1703,2017,11,47,21,1,6,5,5.6087207278636395,5.753337416508181,5.754049891258811
3689,20,15,5254.9634,2017,2,6,12,6,6,24,22.690422555943847,22.531535788139404,22.52473485209437
3690,13,11,161.5943334,2019,11,45,6,2,6,9,5.764290926654498,5.859987739995864,5.879157651323856
3691,11,20,506.2098107,2019,6,26,26,2,6,13,6.7842927940832976,6.7851527098065745,6.804346802234859
3692,20,15,5254.9634,2019,7,29,15,0,6,23,22.50190565678276,22.567761661750303,22.58982030835118
3693,13,11,161.5943334,2015,1,4,22,3,6,6,5.973763704478577,5.876200787188527,5.875210981482196
3694,11,22,234.4704,2015,3,10,2,0,6,5,5.762498198100337,5.746664837756292,5.749176648777132
3695,22,20,624.1703,2015,2,7,14,5,6,6,5.878449788833622,5.763277470809928,5.745218822707438
3696,20,16,5254.9012060000005,2015,2,9,26,3,6,21,22.552480914166125,22.48131397054498,22.47639600201304
3697,13,11,161.5943334,2017,11,45,6,0,6,9,5.723417268603226,5.868458477751492,5.88164158167986
3698,11,20,506.2098107,2017,6,26,26,0,6,10,6.7434191360320295,6.793623447562203,6.806830732590862
3699,20,16,5254.9012060000005,2017,12,49,7,3,6,22,22.343776596628786,22.446946787120517,22.445858762595655
3700,13,11,161.5943334,2018,1,2,8,0,6,9,5.985344881771136,5.926562955032431,5.948310297892361
3701,11,22,234.4704,2018,8,33,16,3,6,5,5.678270693322128,5.693673277009204,5.701578838672939
3702,22,20,624.1703,2018,8,35,27,0,6,6,5.673480694484175,5.779404750423696,5.789965387586536
3703,20,21,10098.332209999999,2018,8,32,9,3,6,40,39.10294444241901,39.114953912674736,39.121716426732725
3704,21,18,628.8036587,2018,10,43,24,2,6,7,5.919580266893528,6.019862589705472,6.02518848154026
3705,13,11,161.5943334,2018,8,31,1,2,6,7,5.840761508258039,5.874292654870395,5.887100231194664
3706,11,20,506.2098107,2018,1,3,21,6,6,9,6.959993135654928,6.773770972930912,6.775709603593624
3707,20,21,10098.332209999999,2018,5,18,2,2,6,41,39.17825035596554,39.14528470365019,39.154830214315375
3708,21,18,628.8036587,2018,3,12,24,5,6,8,6.1366471285413215,6.029013764382018,6.025669455452784
3709,13,11,161.5943334,2017,12,49,6,2,6,6,5.722476460132613,5.843975172264509,5.850360621557252
3710,11,22,234.4704,2017,6,25,24,5,6,5,5.734469580035876,5.674648537580312,5.671007082440491
3711,22,20,624.1703,2017,5,18,7,6,6,6,5.845028808451124,5.74816399636925,5.732412817570575
3712,20,21,10098.332209999999,2017,7,29,17,0,6,40,39.07250626716772,39.13728086984871,39.14772835923121
3713,21,18,628.8036587,2017,1,2,9,0,6,8,6.1391250848583265,6.0936868167603695,6.100565789939056
3714,18,17,688.4059453,2017,9,37,15,4,6,10,6.636037712769584,6.665360311769014,6.660902526541124
3715,13,11,161.5943334,2017,1,3,18,2,6,6,5.9872192846643255,5.895327101106375,5.905351047474669
3716,11,20,506.2098107,2017,1,5,30,0,6,12,6.865370536512371,6.818500743584082,6.833821588474395
3717,20,21,10098.332209999999,2017,2,7,17,4,6,39,39.248602816509624,39.12802739310392,39.128403862137176
3718,21,18,628.8036587,2017,3,9,4,5,6,5,6.157284089172466,6.038356576777719,6.027449202968635
3719,18,17,688.4059453,2017,4,15,14,4,6,8,6.766377844972846,6.692692239416514,6.688615765603176
3720,13,11,161.5943334,2019,11,45,10,6,6,8,5.807493920819793,5.819465250038375,5.826331305544164
3721,11,22,234.4704,2019,10,43,25,4,6,5,5.634292024822054,5.672147438298474,5.683367923048765
3722,22,20,624.1703,2019,5,19,11,5,6,5,5.843409207173268,5.7650057707459865,5.764967190288415
3723,20,23,644.2606097,2019,11,46,16,5,6,5,5.830456894990517,5.874570774758503,5.874989457807443
3724,23,19,4247.728669,2019,11,48,27,2,6,19,18.243825432572287,18.362192344349612,18.374288800235497
3725,13,11,161.5943334,2018,8,32,7,1,6,7,5.819869746011564,5.879343922024015,5.895725361378661
3726,11,20,506.2098107,2018,7,29,21,5,6,13,6.79460766737485,6.749722883554414,6.752476090661331
3727,20,23,644.2606097,2018,9,36,8,5,6,5,5.885236312031919,5.8859659909798605,5.87999378698669
3728,23,19,4247.728669,2018,8,34,20,0,6,20,18.298694517093182,18.396758504202886,18.40864455299615
3729,10,14,46.8502718,2019,7,27,7,6,0,6,4.6393520886789865,4.617654882408126,4.600483543183509
3730,14,11,746.6292581,2019,7,28,13,5,6,3,7.811685797823975,7.765728769820388,7.775477146194705
3731,11,13,134.246,2019,7,30,22,0,6,2,5.864199156497071,5.928242853659169,5.955537254716413
3732,13,20,481.93501849999996,2019,7,31,30,1,6,7,6.394390164695947,6.442727932284365,6.46326969910171
3733,20,15,5254.9634,2019,12,49,8,6,6,23,22.45655204323775,22.489804709838072,22.49203046314144
3734,10,14,46.8502718,2017,3,10,12,6,0,2,4.718637881646332,4.6252072488435845,4.596747832759233
3735,14,13,872.8668682,2017,5,19,12,4,6,6,8.156090516663559,8.095549342308964,8.095682291280534
3736,13,20,481.93501849999996,2017,12,50,17,6,6,7,6.329054655346143,6.368190450974144,6.359338654063974
3737,20,15,5254.9634,2017,12,52,30,5,6,22,22.396206092612346,22.47290675909707,22.467563438269735
3738,10,14,46.8502718,2015,3,9,1,6,0,2,4.714563580329559,4.626370268086613,4.5889772657335275
3739,14,11,746.6292581,2015,5,18,1,4,6,5,7.831863070817816,7.777443018826837,7.769371417265331
3740,11,13,134.246,2015,1,3,16,4,6,5,6.038640408115734,5.911271587587462,5.907451198754396
3741,13,20,481.93501849999996,2015,1,5,27,1,6,5,6.515537408444159,6.461199800834395,6.46342853265846
3742,20,16,5254.9012060000005,2015,7,27,2,3,6,23,22.459951413810124,22.470362378675294,22.461219978371076
3743,10,14,46.8502718,2016,8,35,29,0,0,2,4.483584136595356,4.637525736513501,4.622565122317026
3744,14,13,872.8668682,2016,8,35,31,2,6,8,8.018564249598443,8.079556454518555,8.081060729243882
3745,13,20,481.93501849999996,2016,9,37,14,2,6,3,6.353082370070355,6.4192508623254785,6.4174556599947525
3746,20,16,5254.9012060000005,2016,9,38,23,4,6,22,22.401626026649318,22.437195375353483,22.42877992377997
3747,10,14,46.8502718,2015,4,15,12,6,0,6,4.672690388357109,4.613301858761935,4.576876102520119
3748,14,11,746.6292581,2015,10,42,12,0,6,4,7.638137917038952,7.780474870465321,7.785321611461127
3749,11,13,134.246,2015,12,51,20,6,6,4,5.775317053256368,5.8294997030953475,5.816884687425281
3750,13,20,481.93501849999996,2015,12,53,30,2,6,7,6.2414133050434675,6.389558538831652,6.386068607774268
3751,20,21,10098.332209999999,2016,12,48,1,3,6,40,38.995205341219574,39.08889988712879,39.08217510835025
3752,21,18,628.8036587,2016,2,8,27,5,6,4,6.140768414117078,6.022757679522206,6.0085375366929075
3753,10,14,46.8502718,2015,9,37,7,0,0,3,4.477545764905901,4.646753666050669,4.628402382127613
3754,14,13,872.8668682,2015,12,50,7,0,6,8,7.91405759145252,8.092612454029064,8.096055880526306
3755,13,20,481.93501849999996,2015,7,30,26,6,6,3,6.425047445117178,6.381447331857416,6.36553695731755
3756,20,21,10098.332209999999,2015,4,15,8,2,6,37,39.166900252307414,39.134615819118395,39.13079990073367
3757,21,18,628.8036587,2015,9,38,16,2,6,4,5.928412190645707,6.019352415845182,6.0103210804804
3758,10,14,46.8502718,2017,8,35,30,2,0,3,4.514821714162316,4.623159745146316,4.6081165706941025
3759,14,11,746.6292581,2017,2,6,9,3,6,4,7.903705694949311,7.805468520788713,7.811462925236368
3760,11,13,134.246,2017,12,49,9,5,6,2,5.79886364714727,5.853705372348948,5.85160620967868
3761,13,20,481.93501849999996,2017,9,38,20,2,6,5,6.352627436849511,6.420066760601284,6.42483882500075
3762,20,21,10098.332209999999,2017,1,2,10,1,6,37,39.24798274915295,39.16640831456097,39.17554332842443
3763,21,18,628.8036587,2017,11,46,13,0,6,6,5.876742538469573,6.036398237755238,6.041280238732549
3764,18,17,688.4059453,2017,11,47,25,5,6,7,6.582422963785197,6.637939219446725,6.630726989650034
3765,10,14,46.8502718,2015,3,11,9,0,0,3,4.6295770616713074,4.676995292351342,4.659053871881218
3766,14,13,872.8668682,2015,6,24,9,1,6,6,8.077740777750366,8.114035819695431,8.115430320376197
3767,13,20,481.93501849999996,2015,9,38,18,4,6,5,6.360063618910241,6.395889179529815,6.386073628824279
3768,20,21,10098.332209999999,2015,9,40,29,1,6,40,38.99548633044737,39.10217644795301,39.102548879333774
3769,21,18,628.8036587,2015,11,46,14,5,6,6,5.916580966154276,5.981828789215653,5.962895283221309
3770,18,17,688.4059453,2015,11,48,26,3,6,7,6.536565137975474,6.649204772996994,6.64020668299233
3771,10,14,46.8502718,2019,1,4,25,4,0,3,4.742062270219636,4.656856773245483,4.649592446667798
3772,14,11,746.6292581,2019,1,5,28,0,6,7,7.881993733740648,7.835322528125863,7.864205809013766
3773,11,13,134.246,2019,10,40,2,2,6,5,5.840058046312469,5.908098861537345,5.927542705732536
3774,13,20,481.93501849999996,2019,2,8,21,3,6,5,6.558976230660358,6.458815055854071,6.474939831158446
3775,20,23,644.2606097,2019,4,14,3,2,6,7,5.992810279095513,5.949585039707037,5.959291406650431
3776,23,19,4247.728669,2019,3,11,17,6,6,20,18.51356623473385,18.374281305861466,18.373664350916506
3777,10,14,46.8502718,2018,3,11,17,5,0,4,4.707382199884165,4.636153769608762,4.617337584210153
3778,14,13,872.8668682,2018,3,12,21,2,6,7,8.178267556475474,8.123758244724923,8.137284667100696
3779,13,20,481.93501849999996,2018,3,9,4,6,6,5,6.5877708493799805,6.430919216563284,6.42837295902436
3780,20,23,644.2606097,2018,4,15,14,5,6,3,6.005485430530028,5.908218563291609,5.903125569787813
3781,23,19,4247.728669,2018,4,17,23,0,6,20,18.397252471029148,18.416101377861462,18.428838085105717
3782,14,11,746.6292581,2018,11,47,22,3,6,5,7.662559379901859,7.7519055387125615,7.7624987897274185
3783,11,13,134.246,2018,3,11,12,0,6,3,5.973303057359027,5.951849184377691,5.972929078080908
3784,13,20,481.93501849999996,2018,12,50,12,2,6,4,6.295487741665154,6.414608194543192,6.424129621110589
3785,20,15,5254.9634,2018,12,51,22,5,6,22,22.41593318680181,22.483881368044383,22.484109515797584
3786,14,13,872.8668682,2017,8,33,14,0,6,7,8.026780860410407,8.115871663780363,8.128601435922496
3787,13,20,481.93501849999996,2017,8,34,27,6,6,3,6.417521595576956,6.382453969296966,6.374950729912614
3788,20,15,5254.9634,2017,5,19,9,1,6,22,22.55784974188117,22.56313100187073,22.569653429818572
3789,14,11,746.6292581,2017,9,38,19,1,6,6,7.685646286155462,7.7784826445769095,7.789334835535589
3790,11,13,134.246,2017,1,2,10,1,6,6,6.030494491218834,5.950659146484055,5.964004437636715
3791,13,20,481.93501849999996,2017,10,41,13,4,6,5,6.361777642084052,6.4006628104500525,6.398139321139064
3792,20,16,5254.9012060000005,2017,10,43,24,1,6,22,22.346226542251237,22.464181080589167,22.470915060887975
3793,14,13,872.8668682,2015,2,8,18,2,6,7,8.178710748504736,8.120793439239012,8.12169488286232
3794,13,20,481.93501849999996,2015,3,10,3,1,6,6,6.499874697461978,6.46668138397011,6.465507790434506
3795,20,16,5254.9012060000005,2015,3,11,15,6,6,21,22.58082059966491,22.45423402953,22.43721229488495
3796,14,11,746.6292581,2019,11,45,4,0,6,3,7.659975242172502,7.79835137046374,7.823246082850959
3797,11,13,134.246,2019,4,16,20,5,6,6,6.005160702282664,5.899102271553463,5.911341060170729
3798,13,20,481.93501849999996,2019,2,6,5,1,6,3,6.557556760988012,6.48923501150432,6.5105159165701405
3799,20,21,10098.332209999999,2019,11,45,5,1,6,39,39.01496337743796,39.1259895981147,39.14476847601269
3800,21,18,628.8036587,2019,6,26,25,1,6,7,6.016973552772479,6.055231339464978,6.070553221361669
3801,14,13,872.8668682,2017,3,12,25,5,6,8,8.201033721615138,8.08747112364525,8.085700286499007
3802,13,20,481.93501849999996,2017,8,31,4,4,6,7,6.426193139609763,6.417953280282969,6.415108271585234
3803,20,21,10098.332209999999,2017,4,16,21,4,6,39,39.19257605070684,39.11319155489663,39.112157294869526
3804,21,18,628.8036587,2017,5,18,6,5,6,5,6.1029596053519075,6.026145462280555,6.01506170878339
3805,14,11,746.6292581,2016,10,42,19,2,6,5,7.664268648659215,7.758234707967743,7.7592958405909815
3806,11,13,134.246,2016,10,43,30,6,6,5,5.824079757909386,5.834652544737924,5.8250781273693075
3807,13,20,481.93501849999996,2016,10,41,11,1,6,7,6.319739315975772,6.425159424306612,6.425794459206914
3808,20,21,10098.332209999999,2016,11,47,23,2,6,37,38.976673857116054,39.088014504119144,39.08650511324516
3809,21,18,628.8036587,2017,5,18,1,0,6,5,6.048955862645284,6.076798574727416,6.081094641008006
3810,18,17,688.4059453,2017,1,3,16,0,6,6,6.790801767467331,6.745880910898718,6.756045473081153
3811,14,13,872.8668682,2018,1,2,9,1,6,8,8.23358458744209,8.153804060757343,8.171319277074195
3812,13,20,481.93501849999996,2018,9,37,15,5,6,7,6.404756776662948,6.400649502080478,6.401765143193826
3813,20,21,10098.332209999999,2018,9,39,28,4,6,41,39.06178098528273,39.086675525524925,39.09182722081347
3814,21,18,628.8036587,2018,11,46,14,2,6,5,5.907980116036535,6.022032246388051,6.026831687109626
3815,18,17,688.4059453,2018,11,47,25,6,6,7,6.602859792810831,6.633703850568912,6.6294850244720305
3816,14,11,746.6292581,2015,1,1,2,4,6,4,7.9321233067360115,7.7994106161955425,7.7934240224573035
3817,11,13,134.246,2015,11,45,2,0,6,3,5.753236894971986,5.904664209211326,5.910154905849433
3818,13,20,481.93501849999996,2015,2,8,20,4,6,6,6.53633950321114,6.432977590048859,6.425451978893056
3819,20,23,644.2606097,2015,4,14,3,4,6,5,5.98097430018762,5.913616951412452,5.8965969679401145
3820,23,19,4247.728669,2015,3,11,15,6,6,20,18.480128758743312,18.358574462545626,18.337383085096036
3821,14,13,872.8668682,2015,10,44,28,2,6,5,7.959710531240271,8.069324257540227,8.068285833038933
